,mean,size
0-3,0.10932953690255348,208617
3-7,0.14099291920389612,447831
7-14,0.14853923522085205,672011
14-21,0.12473635587163799,516321
21-28,0.10468441364328865,416146
28-42,0.09010266688167584,651135
42-56,0.07047008686832333,489016
56-84,0.05928399653389674,718963
84-+,0.034546841698694264,2513978
