tercile,rate_with_coupon,rate_without,lift,cells,lift_pct,sample
least elastic,0.007741544072773745,0.007661344452708921,0.0001089031409751375,1012.0,1.4214625337284137,all campaigns
middle,0.004147977896509238,0.004298291211703083,-0.00015181976151121208,1011.0,-3.532095756980076,all campaigns
most elastic,0.004009775490579878,0.003943356743490054,6.83442692130167e-05,1012.0,1.7331495387994962,all campaigns
least elastic,0.0066711140760507,0.008704495039175498,-0.0008635316269358567,142.0,-9.920525234944034,certain eligibility (TypeB/C)
middle,0.0033189920098340505,0.0034083105123487666,0.0004419097790525659,141.0,12.965654902963431,certain eligibility (TypeB/C)
most elastic,0.0019298809906722419,0.0028405787471552685,-2.7936679213979688e-05,142.0,-0.98348546900723,certain eligibility (TypeB/C)
