COMMODITY_DESC,n_top_items,item_weeks,share_weeks_price_moves,share_weeks_base_moves,share_weeks_promo_moves,share_weeks_either_moves,n_items_base_moves,n_items_promo_moves,differential_cells,differential_per_pair,mean_abs_move_corr,cat_trips,multi_any,multi_top,n_items_all,trips_top,drop_reason,scored,kept_today
BERRIES,10,367,0.5149863760217984,0.21525885558583105,0.38419618528610355,0.5313351498637602,10,10,1371.0,15.233333333333333,0.11258463190057819,9064,0.13360547219770522,0.08285525154457193,105,9081,KEPT,True,True
BEVERAGE,10,93,0.07526881720430108,0.043010752688172046,0.03225806451612903,0.07526881720430108,2,2,63.0,0.7,0.01041235491691281,371,0.05929919137466307,0.013477088948787063,55,298,fewer than 5 items or <200 category-trips,True,False
BIRD SEED,10,46,0.17391304347826086,0.0,0.17391304347826086,0.17391304347826086,0,4,72.0,0.8,0.021816945126019237,261,0.19157088122605365,0.09961685823754789,29,223,fewer than 5 items or <200 category-trips,True,False
BLEACH,10,604,0.24172185430463577,0.02152317880794702,0.22847682119205298,0.24503311258278146,7,9,1004.0,11.155555555555555,0.2186737171708372,3530,0.06997167138810198,0.010198300283286119,108,2208,KEPT,True,True
BOOKSTORE,9,16,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,1489,0.17797179314976494,0.0020147750167897917,1128,134,fewer than 5 items or <200 category-trips,True,False
BOTTLE DEPOSITS,2,18,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,78,0.1794871794871795,0.1794871794871795,10,95,fewer than 5 items or <200 category-trips,True,False
BREAD,10,780,0.15897435897435896,0.008974358974358974,0.1564102564102564,0.16153846153846155,4,9,880.0,9.777777777777779,0.123180677490905,7924,0.09048460373548713,0.011736496718828874,343,3329,KEPT,True,True
BREAKFAST SAUSAGE/SANDWICHES,10,815,0.456441717791411,0.06257668711656442,0.4883435582822086,0.498159509202454,6,10,2028.0,22.533333333333335,0.17786521490958956,10907,0.15274594297240304,0.026771797927936186,262,4896,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
BREAKFAST SWEETS,10,627,0.2838915470494418,0.10207336523125997,0.20893141945773525,0.2902711323763955,8,9,1304.0,14.488888888888889,0.10555509649849726,8077,0.06623746440510091,0.021171226940695804,280,5908,KEPT,True,True
BROCCOLI/CAULIFLOWER,10,323,0.4551083591331269,0.1609907120743034,0.34674922600619196,0.4613003095975232,6,7,1093.0,12.144444444444444,0.13334694067040592,4458,0.1155226558995065,0.11103633916554509,48,4873,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
BROOMS AND MOPS,10,270,0.1037037037037037,0.03333333333333333,0.08518518518518518,0.1111111111111111,7,8,232.0,2.577777777777778,0.0853514637063101,3030,0.13333333333333333,0.005940594059405941,336,768,top 15% most seasonal (Herfindahl of daily demand),True,False
BUTTER,10,765,0.33725490196078434,0.13202614379084968,0.24836601307189543,0.34248366013071896,8,10,1632.0,18.133333333333333,0.15238698718802748,4931,0.04137091867775299,0.0332589738389779,54,4738,KEPT,True,True
CAKES,10,375,0.504,0.3413333333333333,0.15733333333333333,0.49333333333333335,8,9,1377.0,15.3,0.08732919356474812,4393,0.11495561119963578,0.009105394946505805,557,1237,top 15% most seasonal (Herfindahl of daily demand),True,False
CANDLES/ACCESSORIES,10,57,0.40350877192982454,0.12280701754385964,0.42105263157894735,0.43859649122807015,3,4,179.0,1.988888888888889,0.3150856198905944,1187,0.22914911541701768,0.015164279696714406,524,247,fewer than 5 items or <200 category-trips,True,False
CANDY - CHECKLANE,10,964,0.2925311203319502,0.04253112033195021,0.25933609958506226,0.29356846473029047,10,10,1318.0,14.644444444444444,0.4672929667275426,22349,0.340686384178263,0.0766029799991051,554,10422,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
