n_rep,n_simulated_choices,price_coef_corr,price_coef_slope,choice_prob_corr
1,45231,0.17914624737138768,0.2702871340190952,0.8429934563574049
6,271386,0.34827215379170684,0.5073384285331688,0.9497127398547869
30,1356930,0.5696815137559295,0.7458832214188549,0.9812556690713692
