COMMODITY_DESC,multi_share,cat_trips
BREAKFAST SAUSAGE/SANDWICHES,0.15274594297240304,10907
CHICKEN,0.15254804794749882,14933
CHARCOAL AND LIGHTER FLUID,0.1521516393442623,1952
SUNTAN,0.14986376021798364,367
MILK BY-PRODUCTS,0.14938587512794269,19540
VITAMINS,0.14760705289672543,1985
BAKING,0.1467065868263473,334
SQUASH,0.14659427443237907,2026
FROZEN PIE/DESSERTS,0.14455942301661964,6378
CHIPS&SNACKS,0.14277251184834122,1688
CONDIMENTS,0.14248704663212436,386
FALL AND WINTER SEASONAL,0.1423487544483986,281
WATER - CARBONATED/FLVRD DRINK,0.14181385869565216,17664
VALUE ADDED FRUIT,0.14113804366511948,5817
SEAFOOD - FROZEN,0.13818960899839314,7468
PARTY TRAYS,0.1371571072319202,401
GARDEN CENTER,0.13562753036437247,494
BEERS/ALES,0.13437703848662752,15330
BERRIES,0.13360547219770522,9064
BROOMS AND MOPS,0.13333333333333333,3030
INSECTICIDES,0.13274336283185842,678
HOT CEREAL,0.13267681289167413,5585
LIQUOR,0.13182016586643386,2291
PICKLE/RELISH/PKLD VEG,0.13114486362894007,6123
BABY HBC,0.1306875631951466,3956
BATTERIES,0.13029897367246765,2241
KITCHEN GADGETS,0.12842105263157894,1900
FACIAL TISS/DNR NAPKIN,0.12690281030444964,6832
DOMESTIC GOODS,0.12534059945504086,734
SNACK NUTS,0.12529500107273117,4661
PORK,0.12516307893020223,12264
DRIED FRUIT,0.12462612163509472,3009
CIGARETTES,0.12418483324017142,10734
SANDWICHES,0.12330316742081449,884
AUTOMOTIVE PRODUCTS,0.12173913043478261,920
SEAFOOD-FRESH,0.12137780207763806,3658
SALAD BAR,0.11952576820711348,8266
CITRUS,0.11910916683237224,10058
TEAS,0.11867816091954023,3480
SEAFOOD - SHELF STABLE,0.11855538540071466,7836
HOME FURNISHINGS,0.11627906976744186,86
FLORAL BALLOONS,0.11581920903954802,354
BROCCOLI/CAULIFLOWER,0.1155226558995065,4458
SPORTS MEMORABLILIA,0.115,200
CAKES,0.11495561119963578,4393
POPCORN,0.1140597091094667,3919
AUDIO/VIDEO PRODUCTS,0.11272321428571429,896
HARDWARE SUPPLIES,0.1126164267569856,1181
SNACKS,0.11225296442687747,1265
NEWSPAPER,0.11183382291229542,4766
SERVICE BEVERAGE,0.11149825783972125,287
PROCESSED,0.10949529512403763,4676
MEAT - MISC,0.10847701149425287,8352
COCOA MIXES,0.10574652322225138,3811
HERBS,0.10544113126344912,3253
DISHWASH DETERGENTS,0.10193236714975845,6210
MISC WINE,0.1015625,1280
LAUNDRY ADDITIVES,0.10117169896349706,4438
PACKAGED NATURAL SNACKS,0.1008174386920981,367
OLIVES,0.10056925996204934,2635
ANALGESICS,0.09985802176999527,4226
APPAREL,0.09799554565701558,449
COOKWARE & BAKEWARE,0.0971540726202159,1019
SUGARS/SWEETNERS,0.09693527856653285,10213
SALAD MIX,0.09456218808736794,15429
CAT LITTER,0.09334691106585201,2946
FROZEN BREAD/DOUGH,0.09159452666852834,7162
EYE AND EAR CARE PRODUCTS,0.09049773755656108,1105
BREAD,0.09048460373548713,7924
FLORAL-FRESH CUT,0.08916323731138547,2187
ADULT INCONTINENCE,0.08893280632411067,506
DIAPERS & DISPOSABLES,0.08625987708516242,4556
SPRING/SUMMER SEASONAL,0.08586666666666666,1875
DISPOSIBLE FOILWARE,0.08491508491508491,1001
SHORTENING/OIL,0.08219678519240137,8212
LAWN AND GARDEN SHOP,0.0821917808219178,292
NUTS,0.0812431842966194,1834
FOOT CARE PRODUCTS,0.08030592734225621,523
VALUE ADDED VEGETABLES,0.07967557251908397,2096
APPLES,0.07881510813280536,13132
FROZEN - BOXED(GROCERY),0.07849829351535836,879
ONIONS,0.07807147935112776,15473
INFANT FORMULA,0.07780126849894292,2365
DELI SPECIALTIES (RETAIL PK),0.07560975609756097,410
MELONS,0.07411710037174721,4304
PIES,0.07292418772563176,2770
COFFEE SHOP SWEET GOODS&RETAIL,0.07246376811594203,69
HOT DOGS,0.0714219802528375,10837
ROLLS,0.07123070834982193,5054
BLEACH,0.06997167138810198,3530
SEAFOOD - MISC,0.06978798586572438,1132
CANNED MILK,0.06932889628397115,1803
COSMETIC ACCESSORIES,0.0663265306122449,196
BREAKFAST SWEETS,0.06623746440510091,8077
ANTACIDS,0.06578947368421052,1748
SWEET GOODS & SNACKS,0.06574827802128992,1597
MARGARINES,0.06448257930317212,13461
CHICKEN/POULTRY,0.06373475347878371,5821
GLASSWARE & DINNERWARE,0.06358381502890173,173
FLOUR & MEALS,0.06308037143772013,3123
BAKERY PARTY TRAYS,0.06299212598425197,127
PREPAID WIRELESS&ACCESSORIES,0.0624390243902439,1025
FROZEN CHICKEN,0.06073752711496746,461
LAXATIVES,0.060539752005835154,1371
FLORAL- HARD GOODS,0.0603448275862069,232
BEVERAGE,0.05929919137466307,371
NEW AGE,0.059149722735674676,541
POTATOES,0.059013157894736844,15200
TURKEY,0.05746295627032887,2767
FILM AND CAMERA PRODUCTS,0.05702647657841141,982
VEGETABLES SALAD,0.05669764385619074,10653
GRAPES,0.05644599303135889,10045
SEASONAL,0.05508474576271186,236
TROPICAL FRUIT,0.055054992854035915,32186
BACON,0.0541840036985668,10815
MISCELLANEOUS,0.05138699408822192,2199
FLORAL-FOLIAGE PLANTS,0.05019305019305019,259
FAMILY PLANNING,0.05017921146953405,558
OVERNIGHT PHOTOFINISHING,0.05,160
GLASSES/VISION AIDS,0.047244094488188976,127
PAPER TOWELS,0.046725279067470114,10123
SINUS AND ALLERGY,0.04466944609886837,1679
PERSONAL CARE APPLIANCES,0.04375,160
LAUNDRY DETERGENTS,0.0430298719772404,8436
MUSHROOMS,0.04294478527607362,4727
SMOKED MEATS,0.04230769230769231,3900
NO COMMODITY DESCRIPTION,0.04189686924493554,2172
J-HOOKS,0.04189636163175303,907
BUTTER,0.04137091867775299,4931
PREPARED FOOD,0.040983606557377046,4636
RW FRESH PROCESSED MEAT,0.038461538461538464,26
FRAGRANCES,0.03669724770642202,109
TOMATOES,0.03601583113456464,15160
FLORAL-FLOWERING PLANTS,0.03296703296703297,455
BATH TISSUES,0.032105690456860285,13549
VEAL,0.0297029702970297,101
COUPON/MISC ITEMS,0.027353544563483018,4387
UNKNOWN,0.027306967984934087,1062
PEARS,0.02590147282884713,1969
WATCHES/CALCULATORS/LOBBY,0.025,40
PORTABLE ELECTRIC APPLIANCES,0.02459016393442623,122
EGGS,0.02245644536201963,27609
FRZN ICE,0.02159827213822894,2315
EXOTIC GAME/FOWL,0.020512820512820513,195
ROSES,0.02004008016032064,499
COFFEE FILTERS,0.019536019536019536,1638
PROPANE,0.018518518518518517,54
TOBACCO OTHER,0.017297297297297298,925
CARROTS,0.012780697563306258,8372
FLORAL-ACCESSORIES,0.012658227848101266,79
DELI SUPPLIES,0.012567324955116697,557
CIGARS,0.012195121951219513,164
TICKETS,0.0084985835694051,706
QUICK SERVICE,0.0078125,128
CORN,0.005143277002204262,2722
SMOKING CESSATIONS,0.0,79
HOME HEALTH CARE,0.0,9
COUPON,0.0,68
COUPONS/STORE & MFG,0.0,366
EASTER LILY,0.0,1
FROZEN PACKAGE MEAT,0.0,1
BULK FOODS,0.0,8
FRZN SEAFOOD,0.0,64
FUEL,0.0,1747
GIFT & FRUIT BASKETS,0.0,19
BOUQUET (NON ROSE),0.0,10
LONG DISTANCE CALLING CARDS,0.0,60
MEAT SUPPLIES,0.0,42
MISCELLANEOUS CROUTONS,0.0,1
MISCELLANEOUS HBC,0.0,27
MISCELLANEOUS(CORP USE ONLY),0.0,1
TOYS,0.0,5
NATURAL VITAMINS,0.0,31
NDAIRY/TEAS/JUICE/SOD,0.0,2
PHARMACY,0.0,13
PKG.SEAFOOD MISC,0.0,6
PROD SUPPLIES,0.0,31
(CORP USE ONLY),0.0,60
