label,group_id,loglik,mse,purchases,rank_ll,rank_se
nf_clean,0,-5.2570694053107925,0.9768199816427595,183.0,1.0,1.0
nf_clean,1,-6.7492322419819075,0.982143201326069,57.0,1.0,1.0
nf_clean,2,-4.646755353778812,0.9676150058178191,282.0,1.0,1.0
nf_clean,3,-4.219993180661296,0.9511168050360748,353.0,1.0,1.0
nf_clean,4,-6.964010799632353,0.9978847129672181,51.0,2.0,1.0
nf_clean,5,-4.274468111704631,0.9415884362645897,332.0,1.0,1.0
nf_clean,6,-4.6397264469304735,0.905304496810281,169.0,1.0,1.0
nf_clean,7,-5.885309634001358,0.9928104566491168,138.0,1.0,1.0
nf_clean,8,-5.033380323840726,0.9564405871975806,186.0,1.0,1.0
nf_clean,9,-4.4836619307355186,0.9636175264187945,246.0,1.0,1.0
nf_clean,10,-3.4586354829626718,0.9124898321295767,437.0,1.0,1.0
nf_clean,11,-5.35706566982582,0.975377504942847,61.0,1.0,1.0
nf_clean,12,-6.140956410190515,0.994875991553591,114.0,1.0,1.0
nf_clean,13,-5.597444510754244,0.9808459811740451,81.0,1.0,1.0
nf_clean,14,-2.702726751277881,0.8858509162987919,1345.0,1.0,1.0
nf_clean,15,-5.2878277118389425,0.9816230187049279,130.0,1.0,1.0
nf_clean,16,-5.424792273569915,0.9873981799109507,118.0,1.0,1.0
nf_clean,17,-5.115958172342052,0.9721540368121603,184.0,1.0,1.0
nf_clean,18,-5.5211773496685606,0.9864230300440933,132.0,1.0,1.0
nf_clean,19,-5.662894827420594,0.9663189121934234,122.0,1.0,1.0
nf_clean,20,-4.270251430840878,0.9467322049366731,359.0,1.0,1.0
nf_clean,21,-5.488335503472222,0.9525405036078559,54.0,1.0,1.0
nf_clean,22,-6.3769378662109375,0.991513869341682,68.0,1.0,1.0
nf_clean,23,-5.533684384506361,0.9778104123816026,113.0,1.0,1.0
nf_clean,24,-5.229802643139057,0.97953981181742,289.0,2.0,1.0
nf_clean,25,-4.3603515625,0.9584206843721694,276.0,1.0,1.0
nf_clean,26,-2.4810091833553405,0.7211204851177376,426.0,1.0,1.0
nf_clean,27,-6.28405029296875,0.9874725341796875,50.0,1.0,1.0
nf_clean,28,-3.7339098215712916,0.9363141072070812,391.0,1.0,1.0
nf_clean,29,-3.800563160966082,0.9065227973751906,328.0,1.0,1.0
nf_clean,30,-6.4667231862137955,0.9946728217892531,82.0,1.0,1.0
nf_clean,31,-7.163551762418927,0.9956806830640109,53.0,1.0,1.0
nf_clean,32,-3.7597953394839636,0.9503003170615748,608.0,1.0,1.0
nf_clean,33,-5.740102833714978,0.9724906833692529,87.0,1.0,1.0
nf_clean,34,-5.170931803385416,0.9664485677083333,150.0,1.0,1.0
nf_clean,35,-3.5949456201840753,0.919787681266053,584.0,1.0,1.0
nf_clean,36,-6.4669478068980135,0.9778879446576733,129.0,2.0,1.0
nf_clean,37,-4.664207592345121,0.9592002734803317,228.0,1.0,1.0
nf_clean,38,-4.903624081941245,0.9723555745067685,217.0,1.0,1.0
nf_clean,39,-6.2372870812049275,0.9575344232412485,52.0,1.0,1.0
nf_clean,40,-4.271553768976098,0.9619228944605943,387.0,1.0,1.0
nf_clean,41,-3.6748935014773636,0.8931885743752505,312.0,1.0,1.0
nf_clean,42,-4.607197041414222,0.9346400669642857,196.0,1.0,1.0
nf_clean,43,-5.890021829044118,0.986793181475471,68.0,1.0,1.0
nf_clean,44,-3.3609164866489087,0.9223276879832055,481.0,1.0,1.0
nf_clean,45,-3.740101891106339,0.8719397088362707,422.0,1.0,1.0
logit_clean,0,-5.637989481941599,0.9963298026329833,183.0,2.0,2.0
logit_clean,1,-7.04345274808114,0.9989909121864721,57.0,2.0,2.0
logit_clean,2,-5.009028441517065,0.9914120072168662,282.0,2.0,2.0
logit_clean,3,-4.524435502611544,0.9865414886906869,353.0,2.0,2.0
logit_clean,4,-6.711631625306373,0.9988695032456342,51.0,1.0,2.0
logit_clean,5,-4.868723306311182,0.9912543239363705,332.0,2.0,2.0
logit_clean,6,-5.525652823363536,0.9947349954638961,169.0,2.0,2.0
logit_clean,7,-5.97732322803442,0.9964246888091599,138.0,2.0,2.0
logit_clean,8,-5.66208246702789,0.9952295775054604,186.0,2.0,2.0
logit_clean,9,-4.953567628938008,0.988391907234502,246.0,2.0,2.0
logit_clean,10,-3.693438148062071,0.9623691026351545,437.0,2.0,2.0
logit_clean,11,-6.518722284035604,0.9984643654745133,61.0,2.0,2.0
logit_clean,12,-6.2497408682839914,0.9979100143700316,114.0,2.0,2.0
logit_clean,13,-6.2442551601080245,0.9980642059702932,81.0,2.0,2.0
logit_clean,14,-3.0829228624535316,0.9393467559247212,1345.0,2.0,2.0
logit_clean,15,-5.66119384765625,0.9975271371694712,130.0,2.0,2.0
logit_clean,16,-5.712818210407839,0.9960272837493379,118.0,2.0,2.0
logit_clean,17,-5.441528652025306,0.993615026059358,184.0,2.0,2.0
logit_clean,18,-5.719487970525568,0.9966113928592566,132.0,2.0,2.0
logit_clean,19,-5.861235571689293,0.995650869901063,122.0,2.0,2.0
logit_clean,20,-4.7712385342313715,0.9868350228227281,359.0,2.0,2.0
logit_clean,21,-6.769847163447627,0.9974726924189815,54.0,2.0,2.0
logit_clean,22,-6.727645425235524,0.9990014468922335,68.0,2.0,2.0
logit_clean,23,-5.928971822282909,0.9966692629113661,113.0,2.0,2.0
logit_clean,24,-5.190666225129758,0.9940008143652682,289.0,1.0,2.0
logit_clean,25,-4.938925922780797,0.9886575228926064,276.0,2.0,2.0
logit_clean,26,-3.3177985965925765,0.9228972672296801,426.0,2.0,2.0
logit_clean,27,-6.747294311523437,0.9996889495849609,50.0,2.0,2.0
logit_clean,28,-4.026508302030051,0.9732113421115729,391.0,2.0,2.0
logit_clean,29,-4.615766571789253,0.9888880659894246,328.0,2.0,2.0
logit_clean,30,-6.595015362995427,0.9990046431378621,82.0,2.0,2.0
logit_clean,31,-7.372643812647405,0.9999364457040463,53.0,2.0,2.0
logit_clean,32,-4.047058908562911,0.9768847415321752,608.0,2.0,2.0
logit_clean,33,-6.174777326912715,0.9967342683638649,87.0,2.0,2.0
logit_clean,34,-5.557109375,0.9946818033854167,150.0,2.0,2.0
logit_clean,35,-4.1568666222977315,0.9788333422517124,584.0,2.0,2.0
logit_clean,36,-6.158436383387839,0.996980534043423,129.0,1.0,2.0
logit_clean,37,-5.053785892955044,0.9915816323798999,228.0,2.0,2.0
logit_clean,38,-5.119498397897465,0.9907731438562069,217.0,2.0,2.0
logit_clean,39,-6.719887953538161,0.9980867826021634,52.0,2.0,2.0
logit_clean,40,-4.363372723877584,0.9795860270813146,387.0,2.0,2.0
logit_clean,41,-4.276241987179487,0.9779397035256411,312.0,2.0,2.0
logit_clean,42,-5.087686344068878,0.9912092247787787,196.0,2.0,2.0
logit_clean,43,-6.360841638901654,0.9985901327694163,68.0,2.0,2.0
logit_clean,44,-3.6501170453807172,0.9643831312532485,481.0,2.0,2.0
logit_clean,45,-4.638188800540581,0.9869399228932169,422.0,2.0,2.0
