label,K,Kp,homogeneous,pooled,extras,train_loglik,test_loglik,train_mse,test_mse,event_own_price_change_loglik,event_cross_price_change_loglik,cv_upc,cv_category,slope_upc,slope_category,own_elasticity_median,own_elasticity_sd_across_items,own_elasticity_mean_sd_across_users,nesting_coef_mean,crosscond_same_subclass,crosscond_diff_subclass,crosscond_gap_subclass,crosscond_share_cats_higher_inside_subclass,crosscond_gap_manufacturer,crosscond_share_cats_higher_inside_manufacturer,cross_gap_subclass,cross_share_cats_higher_inside_subclass
nf_ctl,40,20,False,True,-,-3.3954482495907996,-4.254957320180547,0.8979490504931944,0.9371027204972335,-3.9540610458404375,-4.27321416347207,2.5557382587474873,1.1120529836061395,1.105338810679256,1.0960783754260461,-1.177171230316162,1.1503883600234985,0.708875298500061,1.0277862548828125,0.079715723617493,0.08034412185368887,0.004513917347736552,0.6,0.007550290975317476,0.6727272727272727,0.0002954032864019818,0.4222222222222222
ctl_s1,40,20,False,True,-,-3.367382341380944,-4.269738847735876,0.8969056900413508,0.9365014691094569,-3.9733300475987496,-4.292774079271632,2.703561174560727,1.1237348067171349,1.1171057412532839,1.108667077905209,-1.1543296575546265,1.1676111221313477,0.7624477744102478,0.9951471090316772,0.07756328914692143,0.07838696750532262,0.006065341353722238,0.6,0.00887880134062015,0.6727272727272727,0.00024916529098982596,0.4444444444444444
ctl_s2,40,20,False,True,-,-3.398587585070641,-4.270050813100611,0.8978627347518953,0.9371450931857892,-3.976392663043478,-4.292356927710843,2.5769915857813026,1.128735630860737,1.1054172476071558,1.086085403890241,-1.165113091468811,1.1356655359268188,0.7061007022857666,1.0137872695922852,0.0786985726015337,0.07946916681358478,0.004689651612695615,0.5777777777777777,0.007261897208300547,0.6909090909090909,-0.0010224395218820976,0.4666666666666667
nf_sub,40,20,False,True,-,-3.488897069908684,-4.238568474264706,0.9009621933687973,0.9360343031086197,-3.893212238473288,-4.259608177026287,2.0603637250804367,1.1029060218751703,1.1807677587969772,1.1142446950389344,-0.948097825050354,1.4639053344726562,0.5878986716270447,1.0466305017471313,0.09073093064564075,0.08720980438185921,0.001349573540997515,0.6,-0.0019291824239992205,0.5636363636363636,-0.0024119377685972885,0.4444444444444444
sub_s1,40,20,False,True,-,-3.464564443702619,-4.240160436080373,0.8990144525865782,0.9360478111804746,-3.895622979717249,-4.267374469468784,2.144086759656605,1.1236522965300564,1.1569669311229644,1.111029595011693,-0.9277805685997009,1.421525001525879,0.5940929055213928,1.0797780752182007,0.0909942346517722,0.08538890340376627,0.0031334224828794732,0.6444444444444445,1.9010426270770437e-05,0.5818181818181818,-0.002351086659156463,0.5333333333333333
sub_s2,40,20,False,True,-,-3.480487594762233,-4.249545275644293,0.8999943802226913,0.9363267884118375,-3.888966869582978,-4.270469092278204,2.1528962533842253,1.1232772582337707,1.1618304204415957,1.1014013501834505,-0.9333338141441345,1.431077003479004,0.584912121295929,1.0582458972930908,0.09181684438006661,0.08490892035748705,0.004283077770565542,0.6222222222222222,-6.468467514599015e-05,0.5454545454545454,-0.001701520665469832,0.5333333333333333
